algorithm,structure,dataset,size,time
bubble,array,random,20,2.8399983420968056e-05
bubble,linked_list,random,20,2.6100024115294218e-05
selection,array,random,20,1.810002140700817e-05
selection,linked_list,random,20,1.5600002370774746e-05
insertion,array,random,20,1.729995710775256e-05
insertion,linked_list,random,20,1.4999997802078724e-05
shell,array,random,20,1.650000922381878e-05
shell,linked_list,random,20,1.3599987141788006e-05
merge,array,random,20,3.819999983534217e-05
merge,linked_list,random,20,2.6999972760677338e-05
quick,array,random,20,2.889998722821474e-05
quick,linked_list,random,20,2.1200045011937618e-05
heap,array,random,20,0.0010242999996989965
heap,linked_list,random,20,7.400056347250938e-06
counting,array,random,20,0.017454499960877
counting,linked_list,random,20,0.016997599974274635
radix,array,random,20,7.130001904442906e-05
radix,linked_list,random,20,4.2599975131452084e-05
bubble,array,sorted,20,1.650000922381878e-05
bubble,linked_list,sorted,20,1.580000389367342e-05
selection,array,sorted,20,1.4099990949034691e-05
selection,linked_list,sorted,20,1.360004534944892e-05
insertion,array,sorted,20,3.200024366378784e-06
insertion,linked_list,sorted,20,2.800021320581436e-06
shell,array,sorted,20,8.300004992634058e-06
shell,linked_list,sorted,20,7.700000423938036e-06
merge,array,sorted,20,2.74000340141356e-05
merge,linked_list,sorted,20,2.2199994418770075e-05
quick,array,sorted,20,1.869996776804328e-05
quick,linked_list,sorted,20,1.4599994756281376e-05
heap,array,sorted,20,7.599999662488699e-06
heap,linked_list,sorted,20,4.8999791033566e-06
counting,array,sorted,20,3.120000474154949e-05
counting,linked_list,sorted,20,6.399990525096655e-06
radix,array,sorted,20,1.9099970813840628e-05
radix,linked_list,sorted,20,1.6799953300505877e-05
bubble,array,reverse,20,3.8700003642588854e-05
bubble,linked_list,reverse,20,2.870004391297698e-05
selection,array,reverse,20,1.550000160932541e-05
selection,linked_list,reverse,20,1.479999627918005e-05
insertion,array,reverse,20,2.2599997464567423e-05
insertion,linked_list,reverse,20,2.1899992134422064e-05
shell,array,reverse,20,1.2400036212056875e-05
shell,linked_list,reverse,20,1.1200027074664831e-05
merge,array,reverse,20,2.6500027161091566e-05
merge,linked_list,reverse,20,2.3500004317611456e-05
quick,array,reverse,20,1.680001150816679e-05
quick,linked_list,reverse,20,1.3599987141788006e-05
heap,array,reverse,20,1.209997572004795e-05
heap,linked_list,reverse,20,4.299974534660578e-06
counting,array,reverse,20,7.800001185387373e-06
counting,linked_list,reverse,20,6.299989763647318e-06
radix,array,reverse,20,1.7199956346303225e-05
radix,linked_list,reverse,20,1.5600002370774746e-05
bubble,array,almost_sorted,20,1.6600009985268116e-05
bubble,linked_list,almost_sorted,20,1.580000389367342e-05
selection,array,almost_sorted,20,1.4199991710484028e-05
selection,linked_list,almost_sorted,20,1.3499986380338669e-05
insertion,array,almost_sorted,20,4.700035788118839e-06
insertion,linked_list,almost_sorted,20,4.100031219422817e-06
shell,array,almost_sorted,20,9.90001717582345e-06
shell,linked_list,almost_sorted,20,8.800008799880743e-06
merge,array,almost_sorted,20,3.5699980799108744e-05
merge,linked_list,almost_sorted,20,3.9300008211284876e-05
quick,array,almost_sorted,20,2.9999995604157448e-05
quick,linked_list,almost_sorted,20,2.8999987989664078e-05
heap,array,almost_sorted,20,1.4200049918144941e-05
heap,linked_list,almost_sorted,20,5.300040356814861e-06
counting,array,almost_sorted,20,9.600014891475439e-06
counting,linked_list,almost_sorted,20,6.799993570894003e-06
radix,array,almost_sorted,20,1.9599974621087313e-05
radix,linked_list,almost_sorted,20,1.6700010746717453e-05
bubble,array,half_sorted,20,1.8700025975704193e-05
