algorithm,structure,dataset,size,time
bubble,array,random,20,4.239997360855341e-05
bubble,linked,random,20,3.789999755099416e-05
selection,array,random,20,2.889998722821474e-05
selection,linked,random,20,2.2899999748915434e-05
insertion,array,random,20,3.060000017285347e-05
insertion,linked,random,20,2.5500019546598196e-05
shell,array,random,20,2.4500011932104826e-05
shell,linked,random,20,3.300001844763756e-05
merge,array,random,20,6.910000229254365e-05
merge,linked,random,20,4.499999340623617e-05
quick,array,random,20,8.579995483160019e-05
quick,linked,random,20,3.560003824532032e-05
heap,array,random,20,1.6600009985268116e-05
heap,linked,random,20,9.999959729611874e-06
radix,array,random,20,8.229998638853431e-05
radix,linked,random,20,6.859999848529696e-05
bubble,array,sorted,20,2.619996666908264e-05
bubble,linked,sorted,20,6.980000762268901e-05
selection,array,sorted,20,2.8800044674426317e-05
selection,linked,sorted,20,2.2099993657320738e-05
insertion,array,sorted,20,2.8100039344280958e-05
insertion,linked,sorted,20,6.399990525096655e-06
shell,array,sorted,20,1.8599967006593943e-05
shell,linked,sorted,20,1.379998866468668e-05
merge,array,sorted,20,0.0003144000074826181
merge,linked,sorted,20,4.099996294826269e-05
quick,array,sorted,20,3.559998003765941e-05
quick,linked,sorted,20,2.9499991796910763e-05
heap,array,sorted,20,3.819999983534217e-05
heap,linked,sorted,20,1.7000013031065464e-05
counting,array,sorted,20,4.480005009099841e-05
counting,linked,sorted,20,1.5400000847876072e-05
radix,array,sorted,20,3.1100003980100155e-05
radix,linked,sorted,20,2.6900030206888914e-05
bubble,array,reverse,20,4.930002614855766e-05
bubble,linked,reverse,20,4.7600013203918934e-05
selection,array,reverse,20,2.6300025638192892e-05
selection,linked,reverse,20,2.3999949917197227e-05
insertion,array,reverse,20,3.7999998312443495e-05
insertion,linked,reverse,20,3.4800032153725624e-05
shell,array,reverse,20,2.3300002794712782e-05
shell,linked,reverse,20,1.769996015354991e-05
merge,array,reverse,20,4.9499969463795424e-05
merge,linked,reverse,20,4.650000482797623e-05
quick,array,reverse,20,3.260001540184021e-05
quick,linked,reverse,20,2.4900014977902174e-05
heap,array,reverse,20,1.1899974197149277e-05
heap,linked,reverse,20,7.800001185387373e-06
counting,array,reverse,20,1.5900004655122757e-05
counting,linked,reverse,20,1.1599971912801266e-05
radix,array,reverse,20,2.9799994081258774e-05
radix,linked,reverse,20,2.5900022592395544e-05
